月份,品牌名称,时长(秒),频次,月份,行业大类,时长(分),投放占比,月份,品牌名称,时长(分),刊例(万),频次
6,云顶梦号,6714,112,6,娱乐及休闲,344,0.861,6,云顶梦号,111.9,434,112
6,地中海,5033,84,6,酒类,52,0.1298,6,地中海,83.89,1321,84
6,皇家加勒比,4956,83,6,食品,17,0.0416,6,皇家加勒比,82.6,1330,83
6,椰岛,3115,422,6,房地产/建筑工程行业,9,0.0224,6,椰岛,51.92,539,422
6,贵州盘州,2037,34,6,化妆品/浴室用品,6,0.0146,6,春光,15.13,195,60
6,江苏苏州,1021,34,6,互联网,4,0.0112,6,槟榔谷,9.98,78,40
6,春光,908,60,6,工业,1,0.0031,6,甘肃酒泉金塔沙漠胡杨林景区,1.72,20,10
6,槟榔谷,599,40,6,交通,0,0.0011,6,海南海口火山荔枝,1.5,13,3
6,碧桂园,539,36,7,娱乐及休闲,63,0.6318,6,百里杜鹃风景名胜区,1.38,15,8
6,完美,349,20,7,酒类,42,0.4218,6,西藏日喀则,1.32,14,5
7,椰岛,2580,333,7,食品,24,0.2371,7,椰岛,43,523,333
7,贵州盘州,1798,30,7,交通,19,0.1925,7,佳明,22.8,142,51
7,佳明,1368,51,7,个人用品,18,0.1781,7,春光,15.63,203,62
7,凯迪拉克,1129,71,7,化妆品/浴室用品,5,0.0523,7,西藏日喀则,5.14,47,20
7,春光,938,62,7,数码/电脑/办公用品,5,0.0499,7,三菱,4.6,53,19
7,江苏苏州,690,23,7,家用电器,5,0.046,7,海南海口,3.99,9,2
7,睿优澳,420,7,7,互联网,3,0.0349,7,TITLEIST,3.49,51,12
7,完美,314,18,7,工业,2,0.0182,7,新疆喀什,3.46,40,18
7,西藏日喀则,308,20,7,饮料,1,0.0082,7,双鲸,1.82,16,8
7,三菱,276,19,7,衣着,1,0.0075,7,云南保山,1.29,11,10
8,椰岛,2544,330,8,娱乐及休闲,65,0.6495,8,椰岛,42.4,532,330
8,贵州盘州,2097,35,8,酒类,40,0.3986,8,春光,15.66,215,62
8,春光,939,62,8,交通,21,0.2104,8,西藏日喀则,4.5,45,18
8,路虎,869,24,8,食品,16,0.1566,8,海南海口,3.98,9,2
8,江苏苏州,810,27,8,化妆品/浴室用品,5,0.0466,8,甘肃阿克塞,0.5,5,2
8,新疆喀什,431,40,8,互联网,4,0.0399,8,贵州贵安新区,0.33,3,2
8,凯迪拉克,393,18,8,饮料,3,0.0255,9,椰岛,109.86,1101,947
8,完美,280,16,9,娱乐及休闲,90,0.2999,9,春光,15.08,207,60
8,西藏日喀则,270,18,9,酒类,90,0.2998,9,西藏日喀则,6.12,46,24
8,茶界中国,239,16,9,交通,80,0.267,9,海南海口,2,4,1
9,椰岛,6592,947,9,饮料,20,0.0664,9,大疆,1.38,18,17
9,路虎,4734,158,9,食品,16,0.0522,9,天津杨柳青,1.33,13,8
9,贵州盘州,2816,47,9,房地产/建筑工程行业,6,0.0208,9,河北迁安,1.09,16,6
9,江苏苏州,1141,38,9,化妆品/浴室用品,6,0.0194,9,中国海南,0.67,2,1
9,春光,905,60,9,互联网,5,0.0166,9,好厨师,0.58,2,7
9,新疆喀什,558,51,9,数码/电脑/办公用品,1,0.0046,10,椰岛,115.64,1213,1004
9,碧桂园,374,25,9,家居,0,0.0014,10,春光,15.35,212,61
9,西藏日喀则,367,24,10,酒类,95,0.4768,10,新疆喀什,5.23,56,32
9,完美,349,20,10,娱乐及休闲,65,0.3227,10,海南海口,3.99,9,2
9,茶界中国,299,20,10,交通,26,0.1275,10,西藏日喀则,3.84,40,16
10,椰岛,6939,1004,10,饮料,20,0.1015,10,中国海南,3.04,16,5
10,贵州盘州,1677,28,10,食品,15,0.0768,10,凯迪拉克,2.45,20,20
10,别克,1383,107,10,房地产/建筑工程行业,6,0.0313,10,河北定州,1.99,20,8
10,春光,921,61,10,化妆品/浴室用品,5,0.0232,10,大疆,1.89,23,24
10,江苏苏州,750,25,10,数码/电脑/办公用品,2,0.0095,10,三菱,1.07,3,5
10,碧桂园,376,25,10,家用电器,1,0.0054,11,椰岛,85.06,985,709
10,新疆喀什,314,32,11,交通,255,0.6373,11,海云府,18.74,80,75
10,完美,279,16,11,酒类,65,0.1628,11,贵州盘州,15.97,242,16
10,海南海口,240,2,11,娱乐及休闲,47,0.1165,11,春光,15.06,208,60
10,西藏日喀则,230,16,11,饮料,20,0.0499,11,雪佛兰,5.31,63,24
11,路虎,7878,109,11,房地产/建筑工程行业,19,0.0468,11,三菱,4.22,14,17
11,椰岛,5103,709,11,食品,15,0.0376,11,西藏日喀则,4.21,40,16
11,别克,3094,254,11,商业/服务性行业,10,0.0242,11,海南海口,3.99,9,2
11,凯迪拉克,2465,187,11,化妆品/浴室用品,5,0.0116,11,科尔维特,3.54,59,17
11,雪佛兰,1326,83,11,家用电器,4,0.0106,11,海南保亭,2.37,27,14
11,海云府,1124,75,11,家居,0,0.001,,,,,
11,贵州盘州,958,16,,,,,,,,,
11,春光,903,60,,,,,,,,,
11,中免,580,39,,,,,,,,,
11,新疆喀什,481,43,,,,,,,,,
