行业类别,6-11月,6月,7月,8月,9月,10月,11月
饮料,87236,16859,19405,18042,14323,9624,8983
药品,76829,14946,14555,13476,10816,11622,12184
食品,67082,10545,7570,10304,10046,13198,14649
酒类,31855,4410,4846,4729,5077,6376,6417
化妆品/浴室用品,26965,4546,3852,5384,4151,4366,4666
商业/服务性行业,20664,3825,4588,4346,3046,2401,2458
娱乐及休闲,18124,3088,3183,3799,3204,2571,2279
互联网,14199,2114,2501,2279,2552,2361,2392
衣着,10995,2723,1533,1332,1847,1998,1562
清洁用品,5351,890,839,799,1068,1053,805
邮电通讯,4631,917,736,586,628,862,799
交通,3987,722,416,549,860,719,721
家用电器,3320,490,344,463,484,942,597
个人用品,2786,389,613,578,501,348,357
家居,2345,1367,200,244,187,188,159
农业,2107,292,300,420,336,337,422
房地产/建筑工程行业,1978,218,241,239,394,622,264
金融/投资行业,1618,227,259,250,290,311,281
数码/电脑/办公用品,1170,41,276,404,217,161,71
工业,498,119,109,104,57,52,57
烟草类,1,0,1,0,0,0,0
