包装方式,拼多多,网易云音乐,伊贝诗,百岁山,贝因美,味动力,vivo,每日鲜语,道道全,快手,10月小计,拼多多,网易云音乐,伊贝诗,百岁山,贝因美,味动力,vivo,每日鲜语,道道全,快手,11月小计,拼多多,网易云音乐,伊贝诗,百岁山,贝因美,味动力,vivo,每日鲜语,道道全,快手,12月小计
内容提示,289,38,51,2,25,47,54,2,37,,545,294,181,46,,24,20,122,7,44,59,797,345,138,48,,18,4,48,13,48,80,742
人名提示条,171,6,,,45,49,,17,,,288,194,13,,,62,,35,20,,,324,164,,,,37,,,55,,,256
角标,148,119,56,50,82,93,342,7,136,,1033,132,572,48,295,86,43,397,20,170,61,1824,153,489,48,,88,21,371,32,215,56,1473
转场,87,9,36,,54,41,12,5,6,,250,104,15,36,8,101,25,30,15,7,40,381,87,12,36,4,70,14,12,26,7,37,305
口播压屏条,43,6,20,34,15,93,28,5,17,,261,34,,18,44,26,81,30,15,23,26,297,43,12,12,36,21,72,17,25,18,28,284
广告关版,30,6,,3,12,12,14,4,6,,87,21,14,,,18,,32,15,9,,109,36,12,,,9,,16,25,8,5,111
广告开版,30,6,,,18,24,11,3,,,92,20,14,,,24,11,15,12,2,2,100,31,12,,,17,6,12,20,1,5,104
画外音标准口播,24,6,,26,,10,12,3,4,,85,9,14,,34,,16,,12,5,,90,18,12,,26,,18,1,20,4,,99
预告/回顾,21,,,,,17,9,,,,47,15,,,,,16,,,,,31,12,,,,,9,,,,,21
片尾鸣谢,20,2,16,11,5,41,,1,7,,103,18,4,15,15,7,34,15,3,9,5,125,16,4,13,12,3,36,4,5,8,7,108
压屏标版,33,,72,,,30,2,,,,137,18,,72,19,,8,,,,,117,18,,72,16,,8,1,,,,115
片头联合LOGO,10,2,12,,5,9,83,2,3,,126,8,5,12,,7,4,90,3,4,5,138,11,4,12,,4,2,114,5,4,5,161
片尾压屏标版,12,1,,,5,18,2,,4,,42,8,4,,,8,14,5,,5,,44,9,4,,,5,14,3,,4,,39
片尾拉滚,7,1,,,1,,2,,,,11,3,4,,,,,10,,,,17,6,4,,,,,3,,,,13
压屏条,4,,11,17,2,43,4,3,8,,92,5,,11,,1,43,5,9,13,,87,5,,12,,,37,4,18,13,,89
花字,5,,,,11,8,22,4,,,50,4,1,,6,17,7,9,9,,,53,5,,,5,9,4,1,16,2,,42
原创贴片,,2,6,,,,,,,,8,,2,,,,,,,,,2,1,,,,,,,1,,,2
动画模型,,,,,9,1,32,,,,42,,,,,12,,8,,,,20,,,,,9,,6,,,,15
表演提示条,,,,,,,,7,,,7,,,,,,,,23,,,23,,,,,,,,29,,,29
滚动字幕,,,,,,,,4,,,4,,,,,,,,12,,,12,,,,,,,58,20,,25,103
互动区压滚,,,,,,,,,,,,887,843,258,421,393,322,803,175,291,198,,,,,,,,3,,,,3
